500 996
0 1 337
1 0 337
2 3 46
3 2 46
4 5 1028
5 4 1028
6 7 2028
7 6 2028
8 9 648
9 8 648
8 10 1408
10 8 1408
0 11 1118
11 0 1118
1 12 784
12 1 784
13 14 1820
14 13 1820
15 16 1325
16 15 1325
17 18 463
18 17 463
19 20 417
20 19 417
19 21 1683
21 19 1683
22 23 776
23 22 776
24 25 628
25 24 628
26 27 238
27 26 238
28 29 686
29 28 686
30 31 4121
31 30 4121
32 33 1053
33 32 1053
32 34 436
34 32 436
35 36 120
36 35 120
37 38 577
38 37 577
39 40 294
40 39 294
28 41 310
41 28 310
42 43 260
43 42 260
43 44 767
44 43 767
45 46 805
46 45 805
1 47 214
47 1 214
48 49 641
49 48 641
48 50 1067
50 48 1067
51 52 2388
52 51 2388
53 54 501
54 53 501
55 56 934
56 55 934
57 58 331
58 57 331
59 60 1092
60 59 1092
61 62 3171
62 61 3171
63 64 292
64 63 292
65 57 655
57 65 655
66 67 4079
67 66 4079
67 59 383
59 67 383
59 68 1748
68 59 1748
69 70 441
70 69 441
68 69 253
69 68 253
71 72 3379
72 71 3379
73 74 270
74 73 270
73 75 1806
75 73 1806
76 77 260
77 76 260
76 78 1100
78 76 1100
77 79 2501
79 77 2501
77 80 1570
80 77 1570
81 82 480
82 81 480
81 83 695
83 81 695
84 85 9094
85 84 9094
85 86 10000
86 85 10000
87 88 316
88 87 316
89 90 606
90 89 606
90 87 1204
87 90 1204
91 92 311
92 91 311
90 91 162
91 90 162
93 94 188
94 93 188
95 96 3116
96 95 3116
97 98 4119
98 97 4119
99 100 4221
100 99 4221
101 102 4481
102 101 4481
103 104 819
104 103 819
105 106 3309
106 105 3309
107 108 3024
108 107 3024
109 108 2382
108 109 2382
108 105 1233
105 108 1233
110 105 1225
105 110 1225
111 109 855
109 111 855
112 113 142
113 112 142
114 112 1060
112 114 1060
115 116 5375
116 115 5375
117 118 789
118 117 789
117 115 2746
115 117 2746
119 117 4827
117 119 4827
120 121 1343
121 120 1343
122 119 1613
119 122 1613
122 123 745
123 122 745
124 122 2303
122 124 2303
125 126 438
126 125 438
125 127 1532
127 125 1532
124 125 2051
125 124 2051
128 124 229
124 128 229
129 128 2088
128 129 2088
129 130 4826
130 129 4826
130 131 1670
131 130 1670
132 133 1922
133 132 1922
130 133 2205
133 130 2205
134 135 565
135 134 565
133 134 1336
134 133 1336
134 136 578
136 134 578
137 138 1013
138 137 1013
137 139 2928
139 137 2928
138 140 675
140 138 675
138 141 1900
141 138 1900
142 143 580
143 142 580
142 144 455
144 142 455
139 145 3492
145 139 3492
139 142 589
142 139 589
146 147 3006
147 146 3006
146 148 1208
148 146 1208
145 149 247
149 145 247
145 150 985
150 145 985
151 152 1167
152 151 1167
153 146 2234
146 153 2234
153 154 512
154 153 512
155 156 569
156 155 569
155 157 393
157 155 393
158 155 2562
155 158 2562
158 159 605
159 158 605
160 161 5306
161 160 5306
151 160 3463
160 151 3463
160 162 2529
162 160 2529
163 164 1403
164 163 1403
165 166 2443
166 165 2443
167 168 1787
168 167 1787
169 165 3451
165 169 3451
170 165 417
165 170 417
170 171 4457
171 170 4457
172 173 558
173 172 558
111 174 2326
174 111 2326
166 111 2041
111 166 2041
174 166 3144
166 174 3144
175 174 6241
174 175 6241
171 176 1441
176 171 1441
177 170 2300
170 177 2300
178 179 383
179 178 383
180 172 1107
172 180 1107
181 180 191
180 181 191
181 182 2572
182 181 2572
183 181 1774
181 183 1774
182 184 251
184 182 251
172 178 4516
178 172 4516
178 185 4253
185 178 4253
175 186 1586
186 175 1586
187 188 1117
188 187 1117
187 189 246
189 187 246
190 191 3269
191 190 3269
190 175 1349
175 190 1349
192 190 2305
190 192 2305
193 192 357
192 193 357
194 193 578
193 194 578
195 196 1913
196 195 1913
197 194 2119
194 197 2119
194 198 1910
198 194 1910
192 199 3901
199 192 3901
199 200 509
200 199 509
180 201 10000
201 180 10000
202 203 5101
203 202 5101
201 195 9682
195 201 9682
204 195 878
195 204 878
204 205 2484
205 204 2484
206 202 2022
202 206 2022
202 207 1318
207 202 1318
208 204 1176
204 208 1176
207 208 1371
208 207 1371
209 208 1511
208 209 1511
210 209 982
209 210 982
211 210 88
210 211 88
212 211 658
211 212 658
213 212 373
212 213 373
214 183 545
183 214 545
215 214 944
214 215 944
216 215 624
215 216 624
217 218 350
218 217 350
216 219 2303
219 216 2303
95 216 722
216 95 722
97 95 411
95 97 411
220 97 973
97 220 973
221 222 313
222 221 313
214 217 4076
217 214 4076
217 223 3096
223 217 3096
224 225 6170
225 224 6170
222 224 1561
224 222 1561
224 226 1002
226 224 1002
226 227 668
227 226 668
227 228 5455
228 227 5455
33 229 130
229 33 130
220 230 4073
230 220 4073
231 220 411
220 231 411
232 231 1222
231 232 1222
233 99 668
99 233 668
232 99 335
99 232 335
233 232 335
232 233 335
234 233 94
233 234 94
235 234 1295
234 235 1295
231 221 4352
221 231 4352
236 221 4872
221 236 4872
234 237 2046
237 234 2046
238 235 383
235 238 383
239 238 1965
238 239 1965
238 240 1781
240 238 1781
241 242 1913
242 241 1913
241 243 552
243 241 552
244 239 188
239 244 188
244 241 1388
241 244 1388
245 244 840
244 245 840
235 236 6568
236 235 6568
239 246 1943
246 239 1943
245 247 3152
247 245 3152
34 248 1778
248 34 1778
100 249 343
249 100 343
250 13 1066
13 250 1066
251 250 2002
250 251 2002
252 203 478
203 252 478
252 253 919
253 252 919
13 236 2243
236 13 2243
254 228 3781
228 254 3781
228 255 1671
255 228 1671
256 257 240
257 256 240
255 256 1981
256 255 1981
256 258 1004
258 256 1004
255 259 4012
259 255 4012
100 260 794
260 100 794
259 261 1288
261 259 1288
262 252 5097
252 262 5097
206 262 324
262 206 324
263 206 1884
206 263 1884
262 264 1675
264 262 1675
213 263 2894
263 213 2894
265 213 304
213 265 304
266 265 275
265 266 275
267 266 2828
266 267 2828
268 266 5251
266 268 5251
259 269 1459
269 259 1459
270 271 670
271 270 670
250 272 1559
272 250 1559
272 273 446
273 272 446
273 274 729
274 273 729
273 254 511
254 273 511
275 254 2672
254 275 2672
275 276 820
276 275 820
270 277 522
277 270 522
278 270 891
270 278 891
279 278 2338
278 279 2338
269 280 509
280 269 509
281 268 157
268 281 157
282 281 3582
281 282 3582
279 281 2938
281 279 2938
283 282 1117
282 283 1117
279 284 4355
284 279 4355
285 279 1225
279 285 1225
286 287 1141
287 286 1141
288 187 10000
187 288 10000
289 129 10000
129 289 10000
290 289 2522
289 290 2522
288 291 168
291 288 168
292 288 896
288 292 896
291 293 1501
293 291 1501
292 291 780
291 292 780
294 293 8253
293 294 8253
293 295 3730
295 293 3730
293 296 3675
296 293 3675
195 294 4607
294 195 4607
297 298 492
298 297 492
209 297 4146
297 209 4146
297 299 2304
299 297 2304
295 298 1590
298 295 1590
295 300 1264
300 295 1264
210 301 3119
301 210 3119
212 302 4030
302 212 4030
303 151 2137
151 303 2137
304 303 1121
303 304 1121
305 292 4012
292 305 4012
290 305 334
305 290 334
306 290 1239
290 306 1239
307 306 193
306 307 193
306 308 2741
308 306 2741
309 307 273
307 309 273
310 311 2339
311 310 2339
309 310 446
310 309 446
312 309 2507
309 312 2507
313 314 2006
314 313 2006
315 304 247
304 315 247
313 315 146
315 313 146
316 315 898
315 316 898
317 312 242
312 317 242
312 318 446
318 312 446
317 318 256
318 317 256
319 317 472
317 319 472
320 313 146
313 320 146
318 320 2207
320 318 2207
321 322 219
322 321 219
303 323 3343
323 303 3343
323 324 1345
324 323 1345
162 325 618
325 162 618
326 327 743
327 326 743
323 326 2705
326 323 2705
326 328 626
328 326 626
329 321 727
321 329 727
304 329 2115
329 304 2115
320 316 893
316 320 893
330 316 1487
316 330 1487
331 330 1611
330 331 1611
332 333 354
333 332 354
329 332 1893
332 329 1893
334 335 569
335 334 569
330 334 2127
334 330 2127
319 336 5678
336 319 5678
336 337 334
337 336 334
337 338 891
338 337 891
334 339 3272
339 334 3272
340 341 5346
341 340 5346
296 342 3340
342 296 3340
342 319 3896
319 342 3896
343 340 604
340 343 604
341 319 880
319 341 880
344 341 370
341 344 370
345 344 143
344 345 143
346 344 579
344 346 579
345 343 5403
343 345 5403
347 345 1806
345 347 1806
348 346 6022
346 348 6022
349 350 3372
350 349 3372
351 352 383
352 351 383
349 353 548
353 349 548
347 349 2449
349 347 2449
353 354 958
354 353 958
354 355 3204
355 354 3204
354 356 2370
356 354 2370
357 358 945
358 357 945
357 359 2451
359 357 2451
360 357 840
357 360 840
361 360 247
360 361 247
360 362 2561
362 360 2561
363 348 455
348 363 455
348 361 450
361 348 450
363 361 157
361 363 157
364 363 242
363 364 242
365 364 980
364 365 980
366 347 819
347 366 819
367 366 3036
366 367 3036
368 369 315
369 368 315
366 368 1006
368 366 1006
368 370 3037
370 368 3037
371 372 2241
372 371 2241
373 374 393
374 373 393
265 373 3227
373 265 3227
373 267 854
267 373 854
375 267 1249
267 375 1249
375 376 3211
376 375 3211
377 375 3794
375 377 3794
282 378 1508
378 282 1508
283 379 4034
379 283 4034
379 380 2046
380 379 2046
380 379 2046
379 380 2046
381 377 597
377 381 597
377 382 2652
382 377 2652
381 380 1149
380 381 1149
383 381 2932
381 383 2932
384 383 557
383 384 557
385 386 128
386 385 128
384 385 825
385 384 825
387 384 304
384 387 304
388 389 252
389 388 252
390 283 1336
283 390 1336
390 391 579
391 390 579
392 390 3675
390 392 3675
393 394 2062
394 393 2062
395 392 2109
392 395 2109
396 395 445
395 396 445
397 396 1680
396 397 1680
398 396 1983
396 398 1983
392 393 2061
393 392 2061
399 400 1784
400 399 1784
401 387 369
387 401 369
393 401 3914
401 393 3914
402 401 2163
401 402 2163
387 388 1226
388 387 1226
403 402 1041
402 403 1041
404 402 2158
402 404 2158
405 403 1090
403 405 1090
399 406 1055
406 399 1055
404 399 3016
399 404 3016
407 397 1263
397 407 1263
397 404 3873
404 397 3873
408 409 312
409 408 312
408 410 1088
410 408 1088
388 411 2794
411 388 2794
412 413 2886
413 412 2886
414 408 2675
408 414 2675
414 415 480
415 414 480
367 414 3118
414 367 3118
416 367 386
367 416 386
417 416 353
416 417 353
417 418 3272
418 417 3272
419 417 955
417 419 955
418 420 1845
420 418 1845
418 421 3734
421 418 3734
421 419 134
419 421 134
422 421 250
421 422 250
423 424 1264
424 423 1264
425 426 3140
426 425 3140
427 412 3790
412 427 3790
427 428 1108
428 427 1108
422 427 560
427 422 560
429 422 335
422 429 335
429 427 891
427 429 891
430 431 1361
431 430 1361
432 433 168
433 432 168
434 432 1234
432 434 1234
434 403 1570
403 434 1570
435 434 6017
434 435 6017
432 436 2784
436 432 2784
436 437 1670
437 436 1670
436 438 1090
438 436 1090
437 439 564
439 437 564
440 405 1424
405 440 1424
405 441 3897
441 405 3897
440 442 2570
442 440 2570
443 440 703
440 443 703
444 443 2370
443 444 2370
445 446 2184
446 445 2184
447 448 669
448 447 669
448 449 63
449 448 63
450 448 438
448 450 438
451 452 356
452 451 356
453 454 2008
454 453 2008
450 453 446
453 450 446
450 455 220
455 450 220
456 450 557
450 456 557
453 457 189
457 453 189
458 459 1574
459 458 1574
443 460 2561
460 443 2561
460 461 1257
461 460 1257
460 462 1243
462 460 1243
458 463 528
463 458 528
437 464 2004
464 437 2004
465 464 1231
464 465 1231
465 466 714
466 465 714
435 467 441
467 435 441
468 435 2115
435 468 2115
469 470 686
470 469 686
445 468 767
468 445 767
468 469 829
469 468 829
425 465 1006
465 425 1006
471 425 2004
425 471 2004
430 471 780
471 430 780
472 430 390
430 472 390
473 472 158
472 473 158
473 474 2429
474 473 2429
475 473 703
473 475 703
476 447 115
447 476 115
474 470 703
470 474 703
477 478 3809
478 477 3809
479 478 680
478 479 680
452 476 663
476 452 663
452 445 801
445 452 801
456 451 412
451 456 412
480 456 1090
456 480 1090
480 458 2565
458 480 2565
481 480 364
480 481 364
461 482 2928
482 461 2928
482 483 1611
483 482 1611
481 482 446
482 481 446
484 481 3595
481 484 3595
485 486 1532
486 485 1532
485 487 2110
487 485 2110
488 485 1850
485 488 1850
489 488 2162
488 489 2162
488 490 347
490 488 347
491 492 360
492 491 360
493 494 719
494 493 719
495 491 94
491 495 94
495 158 4674
158 495 4674
496 495 528
495 496 528
497 491 450
491 497 450
498 496 1131
496 498 1131
493 499 4524
499 493 4524
161 498 932
498 161 932
333 321 1698
321 333 1698
419 431 2650
431 419 2650
285 286 2230
286 285 2230
60 70 463
70 60 463
173 177 1247
177 173 1247
179 171 2980
171 179 2980
185 197 4537
197 185 4537
196 193 2316
193 196 2316
38 30 4139
30 38 4139
229 163 918
163 229 918
54 55 517
55 54 517
494 497 680
497 494 680
447 451 501
451 447 501
492 494 1339
494 492 1339
431 429 1949
429 431 1949
353 351 1349
351 353 1349
113 109 5102
109 113 5102
188 114 5636
114 188 5636
191 189 201
189 191 201
280 268 1282
268 280 1282
277 275 434
275 277 434
277 271 1127
271 277 1127
116 110 4356
110 116 4356
230 260 457
260 230 457
45 46 805
46 45 805
15 16 1325
16 15 1325
